FCOM	DATE	{0:1}
GRAD	DATE	{0:1}
IDNO	DATE	{0:1}
IMMI	DATE	{0:1}
INDI-CENS	DATE	{0:1}
INDI-EVEN	DATE	{0:1}
INDI-FACT	DATE	{0:1}
INDI-NCHI	DATE	{0:1}
INDI-RELI	DATE	{0:1}
INDI-RESI	DATE	{0:1}
INDI-TITL	DATE	{0:1}
INIL	DATE	{0:1}
MARB	DATE	{0:1}
MARC	DATE	{0:1}
MARL	DATE	{0:1}
MARR	DATE	{0:1}
MARS	DATE	{0:1}
NATI	DATE	{0:1}
NATU	DATE	{0:1}
NMR	DATE	{0:1}
OCCU	DATE	{0:1}
ORDN	DATE	{0:1}
PROB	DATE	{0:1}
PROP	DATE	{0:1}
RETI	DATE	{0:1}
SLGC	DATE	{0:1}
SLGS	DATE	{0:1}
SOUR-DATA	DATE	{0:1}
SSN	DATE	{0:1}
WILL	DATE	{0:1}
CHAN	DATE-exact	{1:1}
CREA	DATE-exact	{1:1}
HEAD-SOUR-DATA	DATE-exact	{0:1}
ord-STAT	DATE-exact	{1:1}
HEAD	HEAD-DATE	{0:1}
NO	NO-DATE	{0:1}
DATA-EVEN	DATA-EVEN-DATE	{0:1}
record-INDI	DEAT	{0:M}
record-INDI	DESI	{0:M}
HEAD	DEST	{0:1}
record-FAM	DIVF	{0:M}
record-FAM	DIV	{0:M}
record-INDI	DSCR	{0:M}
record-INDI	EDUC	{0:M}
record-INDI	EMIG	{0:M}
record-INDI	ENDL	{0:M}
record-FAM	ENGA	{0:M}
record-FAM	FAM-EVEN	{0:M}
record-INDI	INDI-EVEN	{0:M}
DATA	DATA-EVEN	{0:M}
SOUR	SOUR-EVEN	{0:1}
record-FAM	EXID	{0:M}
record-INDI	EXID	{0:M}
record-OBJE	EXID	{0:M}
record-REPO	EXID	{0:M}
record-SNOTE	EXID	{0:M}
record-SOUR	EXID	{0:M}
record-SUBM	EXID	{0:M}
PLAC	EXID	{0:M}
record-FAM	FAM-FACT	{0:M}
record-INDI	INDI-FACT	{0:M}
record-INDI	INDI-FAMC	{0:M}
